"lockit","Polski (Polish)"
"apply","Zastosuj"
"customize","Modyfikuj"
"done","Done"
"enemyCount","Przciwnicy:"
"engage","Graj"
"exitGame","Wyjdź z gry"
"jet","Model"
"mission","Misja"
"missionCancel","Porzuć misję"
"missionLost","MISJA NIEUDANA"
"missionReturn","Wróć"
"missionSelect","Wybierz misję"
"missionStart","Graj"
"missionWin","MISJA ZAKOŃCZONA"
"off","Wył."
"on","Wł."
"pause","PAUZA"
"resume","Wznów"
"return","Wróć"
"settings","Ustawienia"
"yes","TAK"
"no","NIE"
"settings.audio.unsaved","Ustawienia Dźwięku nie zapisane. Usunąć?"
"settings.audio","Dźwięk"
"settings.audio.device","Urządzenie"
"settings.audio.driver","Sterownik"
"settings.audio.master","Główny"
"settings.audio.sfx","SFX"
"settings.audio.ui","UI"
"settings.display.unsaved","Ustawienia Ekranu nie zapisane. Usunąć?"
"settings.display","Ekran"
"settings.display.fpsLimiter","Limitr FPS"
"settings.display.fullscreen","Pełny ekran"
"settings.display.antialias","Wygładzanie krawędzi"
"settings.display.gamma","Korekcja Gammy"
"settings.display.resolution","Rozdzielczość"
"settings.display.vsync","Synchronizacja pionowa"
"settings.game.language","Język"
"settings.game","Gra"
"settings.game.unsaved","Ustawienia Gry nie zapisane. Usunąć?"
"title","StarAce"
"weapon.blaster","Blaster"
"weapon.cannon","Działko"
"weapon.laser","Laser"
"weapon.torpedo","Rakieta"
"weaponPrimary","Broń główna"
"weaponSecondary","Broń dodatkowa"
"yourScore","Twój wynik: "
